tag	co_occur	non_occur	groups_with_tag	non_big_cooccur	groups_without_tag	non_big_no_occur	Chi-Square-P-value	IsBigData	relevance_score
text-analytics	120	5295	164	44	197165	191870	0	1	0.73
edemocracy	8	5407	11	3	197318	191911	2.81E-40	1	0.73
hive	80	5335	112	32	197217	191882	0	1	0.71
riak	30	5385	42	12	197287	191902	5.87E-158	1	0.71
gluster	10	5405	14	4	197315	191910	2.68E-50	1	0.71
apache-mesos	10	5405	14	4	197315	191910	2.68E-50	1	0.71
how-to-implement-sap-hana	10	5405	14	4	197315	191910	2.68E-50	1	0.71
sap-hana-technology	10	5405	14	4	197315	191910	2.68E-50	1	0.71
solutions-powered-by-sap-hana	10	5405	14	4	197315	191910	2.68E-50	1	0.71
why-use-sap-hana	10	5405	14	4	197315	191910	2.68E-50	1	0.71
appdynamics	10	5405	14	4	197315	191910	2.68E-50	1	0.71
julia	29	5386	41	12	197288	191902	5.48E-151	1	0.71
quants	64	5351	91	27	197238	191887	0	1	0.7
oracle-big-data-appliance	26	5389	37	11	197292	191903	4.51E-134	1	0.7
database-development	334	5081	480	146	196849	191768	0	1	0.7
cloud-computing-security	45	5370	65	20	197264	191894	8.14E-231	1	0.69
sql-server-integration-services	18	5397	26	8	197303	191906	2.53E-90	1	0.69
elasticsearch	40	5375	60	20	197269	191894	1.14E-196	1	0.67
sql-server-analysis-services	22	5393	33	11	197296	191903	9.33E-107	1	0.67
curating-and-galleries	20	5395	30	10	197299	191904	9.17E-97	1	0.67
content-storage	20	5395	30	10	197299	191904	9.17E-97	1	0.67
forex-algorithmic-trading	10	5405	15	5	197314	191909	8.62E-47	1	0.67
contemporary-artists	10	5405	15	5	197314	191909	8.62E-47	1	0.67
business-trends-opportunites-in-china	4	5411	6	2	197323	191912	7.74E-17	1	0.67
networking-with-us-china-business-professionals	4	5411	6	2	197323	191912	7.74E-17	1	0.67
sql-azure	2	5413	3	1	197326	191913	5.44E-07	1	0.67
web-analytics	170	5245	256	86	197073	191828	0	1	0.66
xquery	29	5386	44	15	197285	191899	5.33E-140	1	0.66
xslt	29	5386	44	15	197285	191899	5.33E-140	1	0.66
tableau	19	5396	29	10	197300	191904	4.41E-90	1	0.66
cognitive-computing	19	5396	29	10	197300	191904	4.41E-90	1	0.66
rdf	34	5381	53	19	197276	191895	6.01E-160	1	0.64
civic-hacking	26	5389	41	15	197288	191899	4.02E-120	1	0.63
cloud-storage	31	5384	49	18	197280	191896	2.05E-143	1	0.63
emerging-robotic-technologies	12	5403	19	7	197310	191907	1.24E-53	1	0.63
cascading	17	5398	27	10	197302	191904	6.06E-77	1	0.63
json	25	5390	40	15	197289	191899	1.33E-113	1	0.63
ibm-power-users	10	5405	16	6	197313	191908	1.01E-43	1	0.63
future-vision	10	5405	16	6	197313	191908	1.01E-43	1	0.63
authentication	10	5405	16	6	197313	191908	1.01E-43	1	0.63
digital-music	5	5410	8	3	197321	191911	1.97E-20	1	0.63
enterprise-search	58	5357	93	35	197236	191879	1.21E-266	1	0.62
open-data	184	5231	296	112	197033	191802	0	1	0.62
data-storage	31	5384	50	19	197279	191895	2.52E-140	1	0.62
business-intelligence-strategy	61	5354	99	38	197230	191876	6.35E-277	1	0.62
xml	19	5396	31	12	197298	191902	6.97E-84	1	0.61
system-integration	30	5385	49	19	197280	191895	7.02E-134	1	0.61
cloud-computing-how-to-use-it-for-your-business	30	5385	49	19	197280	191895	7.02E-134	1	0.61
for-profits-business-works-with-non-profit-causes	20	5395	33	13	197296	191901	2.20E-87	1	0.61
dogecoin	12	5403	20	8	197309	191906	8.52E-51	1	0.6
distributed-systems	106	5309	178	72	197151	191842	0	1	0.6
computational-science-and-engineering	25	5390	42	17	197287	191897	8.63E-108	1	0.6
high-frequency-trading	14	5401	24	10	197305	191904	6.08E-58	1	0.58
parallel-programming	32	5383	55	23	197274	191891	2.58E-135	1	0.58
bigdata	88	5327	154	66	197175	191848	0	1	0.57
cognitive-neuroscience	26	5389	46	20	197283	191894	4.24E-106	1	0.57
microsoft-dynamics-crm	10	5405	18	8	197311	191906	1.32E-38	1	0.56
information-technology-in-sport	10	5405	18	8	197311	191906	1.32E-38	1	0.56
expatbang	10	5405	18	8	197311	191906	1.32E-38	1	0.56
udacity	5	5410	9	4	197320	191910	4.02E-18	1	0.56
apache-lucene-and-solr-open-source-search	32	5383	58	26	197271	191888	9.98E-128	1	0.55
sqlserver	89	5326	162	73	197167	191841	0	1	0.55
search-engines	39	5376	71	32	197258	191882	2.08E-155	1	0.55
artificial-intelligence-machine-learning-robotics	17	5398	31	14	197298	191900	2.38E-66	1	0.55
quantitative-analysis	93	5322	170	77	197159	191837	0	1	0.55
high-performance-computing	70	5345	128	58	197201	191856	2.42E-279	1	0.55
web-and-technology-startups	12	5403	22	10	197307	191904	6.79E-46	1	0.55
powerpivot	12	5403	22	10	197307	191904	6.79E-46	1	0.55
cognitive-systems	12	5403	22	10	197307	191904	6.79E-46	1	0.55
quantitative-finance	80	5335	147	67	197182	191847	7.29144550460741e-318	1	0.54
algorithms	104	5311	193	89	197136	191825	0	1	0.54
installation	14	5401	26	12	197303	191902	3.50E-53	1	0.54
marklogic	29	5386	54	25	197275	191889	3.39E-112	1	0.54
nanotechnology	46	5369	87	41	197242	191873	3.51E-176	1	0.53
network-technology	10	5405	19	9	197310	191905	1.88E-36	1	0.53
art-technology	11	5404	21	10	197308	191904	4.14E-40	1	0.52
computer-vision	58	5357	112	54	197217	191860	1.22E-217	1	0.52
visual-thinking	15	5400	29	14	197300	191900	1.02E-54	1	0.52
federal-government-contractors	15	5400	29	14	197300	191900	1.02E-54	1	0.52
semweb	56	5359	110	54	197219	191860	3.75E-206	1	0.51
microsoft-excel	32	5383	64	32	197265	191882	1.09E-114	1	0.5
lucene-solr-nutch-mahout-and-open-source-search	22	5393	44	22	197285	191892	2.91E-78	1	0.5
text-mining	20	5395	40	20	197289	191894	5.65E-71	1	0.5
cloud-computing-strategies-and-roadmaps	20	5395	40	20	197289	191894	5.65E-71	1	0.5
program-management	10	5405	20	10	197309	191904	1.63E-34	1	0.5
juniper-networks	10	5405	20	10	197309	191904	1.63E-34	1	0.5
creating-amazon-cloud-applications	10	5405	20	10	197309	191904	1.63E-34	1	0.5
sports-technology	10	5405	20	10	197309	191904	1.63E-34	1	0.5
life-science-commercialization	10	5405	20	10	197309	191904	1.63E-34	1	0.5
openstack-quantum	10	5405	20	10	197309	191904	1.63E-34	1	0.5
new-relic	10	5405	20	10	197309	191904	1.63E-34	1	0.5
user-experience-optimization	10	5405	20	10	197309	191904	1.63E-34	1	0.5
open-source-content-management	10	5405	20	10	197309	191904	1.63E-34	1	0.5
business-architecture	10	5405	20	10	197309	191904	1.63E-34	1	0.5
volumetric	10	5405	20	10	197309	191904	1.63E-34	1	0.5
art-and-the-internet	10	5405	20	10	197309	191904	1.63E-34	1	0.5
effective-inventory-management	10	5405	20	10	197309	191904	1.63E-34	1	0.5
cancer-trials-research	10	5405	20	10	197309	191904	1.63E-34	1	0.5
enterpreneurs	10	5405	20	10	197309	191904	1.63E-34	1	0.5
professional-ethics	10	5405	20	10	197309	191904	1.63E-34	1	0.5
microsoft-access	10	5405	20	10	197309	191904	1.63E-34	1	0.5
aws-s3	10	5405	20	10	197309	191904	1.63E-34	1	0.5
executive-business-consulting-with-cfo-analytics	10	5405	20	10	197309	191904	1.63E-34	1	0.5
mlb-baseball	10	5405	20	10	197309	191904	1.63E-34	1	0.5
aws-design-implementation-and-servicing	8	5407	16	8	197313	191906	3.23E-27	1	0.5
exacttarget	6	5409	12	6	197317	191908	6.41E-20	1	0.5
marketo	6	5409	12	6	197317	191908	6.41E-20	1	0.5
sap-business-intelligence	4	5411	8	4	197321	191910	1.25E-12	1	0.5
genomics	12	5403	25	13	197304	191901	5.17E-40	1	0.48
real-time-internet	10	5405	21	11	197308	191903	9.24E-33	1	0.48
cloud-networking	10	5405	21	11	197308	191903	9.24E-33	1	0.48
ediscovery	10	5405	21	11	197308	191903	9.24E-33	1	0.48
